tanggal,pm10,so2,co,o3,no2,max,critical,kategori
10/02/22,35,22,8,72,3,72,O3,SEDANG
10/03/22,64,22,16,78,3,78,O3,SEDANG
10/04/22,62,23,12,76,4,76,O3,SEDANG
10/05/22,63,22,20,54,5,63,PM10,SEDANG
10/06/22,52,6,17,83,9,83,O3,SEDANG
10/07/22,33,6,8,80,6,80,O3,SEDANG
10/08/22,65,9,32,48,11,65,PM10,SEDANG
10/09/22,36,8,7,75,7,75,O3,SEDANG
10/10/22,38,9,7,73,9,73,O3,SEDANG
10/11/22,41,7,8,63,7,63,O3,SEDANG
10/12/22,41,7,14,69,8,69,O3,SEDANG
10/13/22,63,8,14,120,9,120,O3,TIDAK SEHAT
10/14/22,53,7,11,75,10,75,O3,SEDANG
10/15/22,58,9,18,81,15,81,O3,SEDANG
10/16/22,41,7,11,83,7,83,O3,SEDANG
10/17/22,44,7,10,81,6,81,O3,SEDANG
10/18/22,37,7,8,79,7,79,O3,SEDANG
10/19/22,65,15,21,113,10,113,O3,TIDAK SEHAT
10/20/22,71,16,20,111,10,111,O3,TIDAK SEHAT
10/21/22,55,11,10,77,8,77,O3,SEDANG
10/22/22,57,11,14,122,7,122,O3,TIDAK SEHAT
10/23/22,50,8,8,79,6,79,O3,SEDANG
10/24/22,34,9,13,119,9,119,O3,TIDAK SEHAT
10/25/22,36,13,9,72,8,72,O3,SEDANG
10/26/22,20,9,8,66,6,66,O3,SEDANG
10/27/22,51,10,15,88,8,88,O3,SEDANG
10/28/22,36,8,9,87,8,87,O3,SEDANG
10/29/22,64,20,16,111,12,111,O3,TIDAK SEHAT
10/30/22,67,18,14,136,8,136,O3,TIDAK SEHAT
10/31/22,40,9,11,30,36,40,PM10,BAIK
11/01/22,24,8,5,74,3,74,O3,SEDANG
11/02/22,32,9,7,136,7,136,O3,TIDAK SEHAT
11/03/22,48,12,9,134,8,134,O3,TIDAK SEHAT
11/04/22,48,11,18,73,9,73,O3,SEDANG
11/05/22,52,9,17,66,9,66,O3,SEDANG
11/06/22,63,15,15,130,6,130,O3,TIDAK SEHAT
11/07/22,32,2,12,29,9,32,PM10,BAIK
11/08/22,52,5,11,35,9,52,PM10,SEDANG
11/09/22,50,4,4,30,8,50,PM10,BAIK
11/10/22,51,7,7,34,9,51,PM10,SEDANG
11/11/22,44,4,4,29,7,44,PM10,BAIK
11/12/22,50,4,3,48,9,50,PM10,BAIK
11/13/22,60,4,4,60,10,60,PM10,SEDANG
11/14/22,56,4,3,34,12,56,PM10,SEDANG
11/15/22,64,5,3,44,12,64,PM10,SEDANG
11/16/22,44,2,4,47,8,47,O3,BAIK
11/17/22,47,3,4,62,10,62,O3,SEDANG
11/18/22,54,2,3,38,8,54,PM10,SEDANG
11/19/22,56,7,9,42,9,56,PM10,SEDANG
11/20/22,60,7,7,40,9,60,PM10,SEDANG
11/21/22,58,6,8,57,8,58,PM10,SEDANG
11/22/22,60,6,8,83,7,83,O3,SEDANG
11/23/22,54,4,6,43,10,54,PM10,SEDANG
11/24/22,30,8,8,59,13,59,O3,SEDANG
11/25/22,50,12,10,34,8,50,PM10,BAIK
11/26/22,27,7,7,49,9,49,O3,BAIK
11/27/22,58,8,7,42,8,58,PM10,SEDANG
11/28/22,42,3,10,52,8,52,O3,SEDANG
11/29/22,41,3,8,43,5,43,O3,BAIK
11/30/22,26,2,4,27,5,27,O3,BAIK
12/01/22,32,4,5,29,8,32,PM10,BAIK
12/02/22,22,4,4,65,8,65,O3,SEDANG
12/03/22,44,5,6,90,16,90,O3,SEDANG
12/04/22,58,8,6,74,12,74,O3,SEDANG
12/05/22,52,16,7,41,10,52,PM10,SEDANG
12/06/22,48,14,7,46,9,48,PM10,BAIK
12/07/22,55,26,12,53,5,55,PM10,SEDANG
12/08/22,36,17,7,48,5,48,O3,BAIK
12/09/22,60,34,17,47,5,60,PM10,SEDANG
12/10/22,53,20,7,48,6,53,PM10,SEDANG
12/11/22,53,21,10,42,8,53,PM10,SEDANG
12/12/22,52,18,9,45,5,52,PM10,SEDANG
12/13/22,63,15,15,130,6,130,O3,TIDAK SEHAT
